system,objective,threshold,n_children_test,n_clips_test,f1_child_ci_low,f1_child_ci_high,balanced_acc_child_ci_low,balanced_acc_child_ci_high,mcc_child_ci_low,mcc_child_ci_high,auroc_child_ci_low,auroc_child_ci_high,auprc_child_ci_low,auprc_child_ci_high
mil/mil_results/whisper_mil_hardneg_synth,balanced_acc,0.7030468583106995,109,441,0.8421052631578947,0.8988484024025154,0.7267261690261689,0.8245218495481837,0.43393251816040673,0.6122893257878449,0.8113898105779054,0.8901194210089177,0.9189489581172173,0.9648081388091113
mil/mil_results/whisper_mil_hardneg_synth,youden,0.7030468583106995,109,441,0.8421052631578947,0.8988484024025154,0.7267261690261689,0.8245218495481837,0.43393251816040673,0.6122893257878449,0.8113898105779054,0.8901194210089177,0.9189489581172173,0.9648081388091113
mil/mil_results/whisper_mil_hardneg_synth_v1,f1,0.5055341720581055,109,441,0.8446810017564734,0.9020635007677122,0.5893839606476209,0.6840798967114756,0.244661561881778,0.4688774376610228,0.7762798864098457,0.8647159884830663,0.9021192081074288,0.9560461388049535
mil/mil_results/whisper_mil_hardneg_synth_v1,balanced_acc,0.7552583813667297,109,441,0.76921768707483,0.8372983405803531,0.7080976364284811,0.7902331765282876,0.36072459213135466,0.5153619380962513,0.7762798864098457,0.8647159884830663,0.9021192081074288,0.9560461388049535
mil/mil_results/whisper_mil_hardneg_synth_v1,youden,0.7552583813667297,109,441,0.76921768707483,0.8372983405803531,0.7080976364284811,0.7902331765282876,0.36072459213135466,0.5153619380962513,0.7762798864098457,0.8647159884830663,0.9021192081074288,0.9560461388049535
mil/mil_results/whisper_mil_layersum,f1,0.7100920677185059,109,441,0.8368210405946255,0.8962983770287141,0.5147661241174557,0.5677783844224431,0.06987888337143482,0.3184420893351258,0.5225159099036685,0.6657901230254423,0.7346464660403061,0.8488828371266615
mil/mil_results/whisper_mil_layersum,balanced_acc,0.7320062518119812,109,441,0.6872507442274883,0.7744501879699248,0.5170406314699794,0.6242185481062011,0.030268734108592914,0.22247844409063333,0.5225159099036685,0.6657901230254423,0.7346464660403061,0.8488828371266615
mil/mil_results/whisper_mil_layersum,youden,0.7320062518119812,109,441,0.6872507442274883,0.7744501879699248,0.5170406314699794,0.6242185481062011,0.030268734108592914,0.22247844409063333,0.5225159099036685,0.6657901230254423,0.7346464660403061,0.8488828371266615
mil/mil_results/whisper_mil_tsmil_concat,f1,0.5354159474372864,109,436,0.8605600315343848,0.9160240529099389,0.6499483759939053,0.7571295524488075,0.35629169046265696,0.5689342864300451,0.8228195839633619,0.9069432694875267,0.9123322281965551,0.9698591083070782
mil/mil_results/whisper_mil_tsmil_concat,balanced_acc,0.7981036305427551,109,436,0.8134297321157613,0.8816591802358226,0.7228581831123757,0.8257623040478188,0.39736955741128643,0.5934005082567159,0.8228195839633619,0.9069432694875267,0.9123322281965551,0.9698591083070782
